iter	Passed	Remaining
789	1089	289
790	1091	288
791	1092	286
792	1093	285
793	1095	284
794	1096	282
795	1097	281
796	1099	279
797	1100	278
798	1101	277
799	1103	275
800	1104	274
801	1106	273
802	1108	271
803	1109	270
804	1110	269
805	1112	267
806	1113	266
807	1114	264
808	1115	263
809	1117	262
810	1118	260
811	1119	259
812	1121	257
813	1123	256
814	1124	255
815	1126	253
816	1127	252
817	1129	251
818	1130	249
819	1131	248
820	1133	247
821	1134	245
822	1135	244
823	1137	242
824	1138	241
825	1139	240
826	1141	238
827	1142	237
828	1144	236
829	1145	234
830	1147	233
831	1148	231
832	1149	230
833	1151	229
834	1152	227
835	1153	226
836	1155	225
837	1157	223
838	1158	222
839	1159	220
840	1161	219
841	1162	218
842	1163	216
843	1165	215
844	1166	213
845	1167	212
846	1169	211
847	1170	209
848	1172	208
849	1173	207
850	1175	205
851	1176	204
852	1177	202
853	1179	201
854	1180	200
855	1181	198
856	1183	197
857	1184	196
858	1185	194
859	1187	193
860	1188	191
861	1190	190
862	1191	189
863	1192	187
864	1193	186
865	1195	184
866	1196	183
867	1198	182
868	1199	180
869	1200	179
870	1202	178
871	1203	176
872	1204	175
873	1206	173
874	1208	172
875	1209	171
876	1210	169
877	1212	168
878	1213	167
879	1214	165
880	1216	164
881	1217	162
882	1218	161
883	1220	160
884	1221	158
885	1223	157
886	1224	156
887	1226	154
888	1227	153
889	1228	151
890	1230	150
891	1231	149
892	1232	147
893	1234	146
894	1235	144
895	1236	143
896	1238	142
897	1239	140
898	1240	139
899	1242	138
900	1243	136
901	1244	135
902	1246	133
903	1247	132
904	1249	131
905	1250	129
906	1251	128
907	1253	126
908	1254	125
909	1256	124
910	1257	122
911	1258	121
912	1260	120
913	1261	118
914	1262	117
915	1265	116
916	1266	114
917	1267	113
918	1269	111
919	1270	110
920	1272	109
921	1273	107
922	1274	106
923	1275	104
924	1277	103
925	1278	102
926	1280	100
927	1281	99
928	1282	98
929	1284	96
930	1285	95
931	1287	93
932	1288	92
933	1289	91
934	1291	89
935	1292	88
936	1293	86
937	1295	85
938	1296	84
939	1297	82
940	1299	81
941	1300	80
942	1301	78
943	1303	77
944	1304	75
945	1305	74
946	1306	73
947	1308	71
948	1309	70
949	1311	69
950	1312	67
951	1313	66
952	1315	64
953	1316	63
954	1317	62
955	1319	60
956	1320	59
957	1321	57
958	1323	56
959	1324	55
960	1325	53
961	1327	52
962	1328	51
963	1329	49
964	1331	48
965	1332	46
966	1333	45
967	1335	44
968	1336	42
969	1338	41
970	1339	40
971	1340	38
972	1341	37
973	1343	35
974	1344	34
975	1346	33
976	1347	31
977	1348	30
978	1350	28
979	1351	27
980	1352	26
981	1354	24
982	1355	23
983	1356	22
984	1358	20
